NAME,B01003_001E,B19013_001E,B25046_001E,B08126_001E,B08301_001E,state,county,tract
Census Tract 5004.04; Los Angeles County; California,4173,84618,2951,2188,2188,06,037,500404
Census Tract 5005; Los Angeles County; California,2891,75469,1772,1305,1305,06,037,500500
Census Tract 5006; Los Angeles County; California,5286,75639,2926,2569,2569,06,037,500600
Census Tract 5007; Los Angeles County; California,7177,85625,4282,3305,3305,06,037,500700
Census Tract 5008; Los Angeles County; California,5149,107798,3457,2492,2492,06,037,500800
Census Tract 5009; Los Angeles County; California,5625,50469,3669,2674,2674,06,037,500900
Census Tract 5010.01; Los Angeles County; California,3110,95600,1759,1254,1254,06,037,501001
Census Tract 5010.02; Los Angeles County; California,4469,102500,3007,2074,2074,06,037,501002
Census Tract 5012; Los Angeles County; California,5134,98015,3450,2490,2490,06,037,501200
Census Tract 5013.01; Los Angeles County; California,3067,81488,2353,1215,1215,06,037,501301
Census Tract 5013.02; Los Angeles County; California,4425,96941,3305,2062,2062,06,037,501302
Census Tract 5014; Los Angeles County; California,3093,64444,2079,1549,1549,06,037,501400
Census Tract 5015.01; Los Angeles County; California,2022,120679,1777,1033,1033,06,037,501501
Census Tract 5015.03; Los Angeles County; California,5517,77480,3503,2602,2602,06,037,501503
Census Tract 5015.04; Los Angeles County; California,3395,44038,1990,1398,1398,06,037,501504
Census Tract 5016; Los Angeles County; California,7041,109583,4705,3511,3511,06,037,501600
Census Tract 5017; Los Angeles County; California,3895,112679,2696,1833,1833,06,037,501700
Census Tract 5018.02; Los Angeles County; California,3360,86458,2291,1610,1610,06,037,501802
Census Tract 5018.03; Los Angeles County; California,4970,58532,2152,2433,2433,06,037,501803
Census Tract 5018.04; Los Angeles County; California,2266,53092,1180,945,945,06,037,501804
Census Tract 5019; Los Angeles County; California,4321,94107,3353,2007,2007,06,037,501900
Census Tract 5020.03; Los Angeles County; California,2633,74722,1616,1301,1301,06,037,502003
Census Tract 5020.04; Los Angeles County; California,4061,70625,2337,1703,1703,06,037,502004
Census Tract 5020.05; Los Angeles County; California,4480,82452,2588,2067,2067,06,037,502005
Census Tract 5021; Los Angeles County; California,4956,85333,3045,1977,1977,06,037,502100
Census Tract 5022; Los Angeles County; California,6994,103650,5154,3649,3649,06,037,502200
Census Tract 5023.03; Los Angeles County; California,8377,63775,4176,3285,3285,06,037,502303
Census Tract 5024.01; Los Angeles County; California,5136,81202,2857,2286,2286,06,037,502401
Census Tract 5024.02; Los Angeles County; California,3494,88598,2461,1636,1636,06,037,502402
Census Tract 5025; Los Angeles County; California,4096,74484,2293,1741,1741,06,037,502500
Census Tract 5026.02; Los Angeles County; California,4178,64563,2652,2117,2117,06,037,502602
Census Tract 5026.03; Los Angeles County; California,3259,111354,1939,1445,1445,06,037,502603
Census Tract 5026.04; Los Angeles County; California,3907,105139,2841,1833,1833,06,037,502604
Census Tract 5027; Los Angeles County; California,7269,89079,4524,3314,3314,06,037,502700
Census Tract 5028.01; Los Angeles County; California,6452,97750,4400,3101,3101,06,037,502801
Census Tract 5029.01; Los Angeles County; California,5821,111149,4089,3048,3048,06,037,502901
Census Tract 5030; Los Angeles County; California,5836,94292,3737,2622,2622,06,037,503000
Census Tract 5031.03; Los Angeles County; California,5646,104474,3443,2584,2584,06,037,503103
Census Tract 5031.04; Los Angeles County; California,2493,79564,1649,1208,1208,06,037,503104
Census Tract 5031.05; Los Angeles County; California,3589,112750,2003,1716,1716,06,037,503105
Census Tract 5031.06; Los Angeles County; California,3755,86101,2560,1970,1970,06,037,503106
Census Tract 5032.01; Los Angeles County; California,3956,117708,2581,1792,1792,06,037,503201
Census Tract 5032.02; Los Angeles County; California,4529,91167,2992,2231,2231,06,037,503202
Census Tract 5033.01; Los Angeles County; California,3601,138850,2662,1880,1880,06,037,503301
Census Tract 5033.02; Los Angeles County; California,5889,85332,3497,2670,2670,06,037,503302
Census Tract 5034.01; Los Angeles County; California,7421,102219,5000,3611,3611,06,037,503401
Census Tract 5034.02; Los Angeles County; California,3860,115382,2907,1917,1917,06,037,503402
Census Tract 5035.01; Los Angeles County; California,7151,92292,4523,3879,3879,06,037,503501
Census Tract 5035.02; Los Angeles County; California,4234,118125,2576,1893,1893,06,037,503502
Census Tract 5036.01; Los Angeles County; California,4317,110141,2683,2132,2132,06,037,503601
Census Tract 5036.02; Los Angeles County; California,4110,151344,3111,2158,2158,06,037,503602
Census Tract 5037.01; Los Angeles County; California,4861,78017,3367,2221,2221,06,037,503701
Census Tract 5037.02; Los Angeles County; California,5387,97238,3892,2689,2689,06,037,503702
Census Tract 5037.04; Los Angeles County; California,4364,70714,3362,2070,2070,06,037,503704
Census Tract 5037.05; Los Angeles County; California,2671,111029,2374,1325,1325,06,037,503705
Census Tract 5038.01; Los Angeles County; California,3622,89500,2633,1648,1648,06,037,503801
Census Tract 5038.02; Los Angeles County; California,5277,101706,3990,2884,2884,06,037,503802
Census Tract 5039.01; Los Angeles County; California,2275,120391,1583,1172,1172,06,037,503901
Census Tract 5039.02; Los Angeles County; California,5367,111250,3902,2441,2441,06,037,503902
Census Tract 5040.01; Los Angeles County; California,5265,59623,3437,2259,2259,06,037,504001
Census Tract 5040.02; Los Angeles County; California,5457,128375,3976,2569,2569,06,037,504002
Census Tract 5041.01; Los Angeles County; California,4919,92604,3257,2295,2295,06,037,504101
Census Tract 5042; Los Angeles County; California,7427,63542,4085,3040,3040,06,037,504200
Census Tract 5300.05; Los Angeles County; California,3386,117548,2695,1448,1448,06,037,530005
Census Tract 5300.06; Los Angeles County; California,4913,79259,3099,2251,2251,06,037,530006
Census Tract 5300.07; Los Angeles County; California,6539,86943,4648,2836,2836,06,037,530007
Census Tract 5301.01; Los Angeles County; California,5452,49459,2633,2189,2189,06,037,530101
Census Tract 5301.02; Los Angeles County; California,4706,49979,2798,1834,1834,06,037,530102
Census Tract 5302.02; Los Angeles County; California,4176,107550,2998,2298,2298,06,037,530202
Census Tract 5302.03; Los Angeles County; California,2520,49355,1519,1263,1263,06,037,530203
Census Tract 5302.04; Los Angeles County; California,4044,78370,2629,2111,2111,06,037,530204
Census Tract 5303.01; Los Angeles County; California,2167,59208,1084,992,992,06,037,530301
Census Tract 5303.02; Los Angeles County; California,6424,57097,3652,2950,2950,06,037,530302
Census Tract 5304; Los Angeles County; California,3723,52617,2030,1186,1186,06,037,530400
Census Tract 5305; Los Angeles County; California,4103,68306,1980,1850,1850,06,037,530500
Census Tract 5306.03; Los Angeles County; California,4419,84592,2555,2168,2168,06,037,530603
Census Tract 5307; Los Angeles County; California,2152,77692,1174,1153,1153,06,037,530700
Census Tract 5308.01; Los Angeles County; California,5773,83367,3315,2565,2565,06,037,530801
Census Tract 5308.02; Los Angeles County; California,3190,72188,1849,1417,1417,06,037,530802
Census Tract 5309.01; Los Angeles County; California,3916,59830,1974,1974,1974,06,037,530901
Census Tract 5309.02; Los Angeles County; California,4058,40582,1779,1617,1617,06,037,530902
Census Tract 5310; Los Angeles County; California,5136,71012,2276,2272,2272,06,037,531000
Census Tract 5311.01; Los Angeles County; California,4833,68107,2257,2129,2129,06,037,531101
Census Tract 5311.02; Los Angeles County; California,2485,46278,1196,1175,1175,06,037,531102
Census Tract 5312.01; Los Angeles County; California,4118,64679,2139,1810,1810,06,037,531201
Census Tract 5312.02; Los Angeles County; California,4252,60703,2055,1804,1804,06,037,531202
Census Tract 5313.01; Los Angeles County; California,5360,49422,2470,2192,2192,06,037,531301
Census Tract 5313.02; Los Angeles County; California,5549,50600,2491,2254,2254,06,037,531302
Census Tract 5315.02; Los Angeles County; California,3085,47301,1553,1106,1106,06,037,531502
Census Tract 5315.03; Los Angeles County; California,2652,67917,1512,1183,1183,06,037,531503
Census Tract 5315.04; Los Angeles County; California,4097,71250,2132,1910,1910,06,037,531504
Census Tract 5316.02; Los Angeles County; California,3819,49896,1797,1755,1755,06,037,531602
Census Tract 5316.03; Los Angeles County; California,3665,66592,1959,1658,1658,06,037,531603
Census Tract 5316.04; Los Angeles County; California,3255,46012,1459,1294,1294,06,037,531604
Census Tract 5317.01; Los Angeles County; California,5692,66629,2753,2592,2592,06,037,531701
Census Tract 5317.02; Los Angeles County; California,4946,70580,2356,2412,2412,06,037,531702
Census Tract 5318; Los Angeles County; California,4780,84241,3057,2625,2625,06,037,531800
Census Tract 5319.01; Los Angeles County; California,6531,67817,3327,3526,3526,06,037,531901
Census Tract 5319.02; Los Angeles County; California,4217,83250,2352,2185,2185,06,037,531902
Census Tract 5320.01; Los Angeles County; California,3139,67896,1886,1215,1215,06,037,532001
Census Tract 5320.02; Los Angeles County; California,3414,77250,2047,1757,1757,06,037,532002
Census Tract 5321.01; Los Angeles County; California,7044,56261,4103,3389,3389,06,037,532101
Census Tract 5321.02; Los Angeles County; California,3521,93021,2209,1806,1806,06,037,532102
Census Tract 5322; Los Angeles County; California,6983,75667,3906,3478,3478,06,037,532200
Census Tract 5323.02; Los Angeles County; California,4588,63466,2817,1870,1870,06,037,532302
Census Tract 5323.03; Los Angeles County; California,4399,74750,2670,2091,2091,06,037,532303
Census Tract 5323.04; Los Angeles County; California,4119,58250,1858,1538,1538,06,037,532304
Census Tract 5325; Los Angeles County; California,3833,55194,1949,1618,1618,06,037,532500
Census Tract 5326.05; Los Angeles County; California,4129,41724,1917,1832,1832,06,037,532605
Census Tract 5326.06; Los Angeles County; California,3987,42066,1608,1928,1928,06,037,532606
